서울 제12선거구,2,자유당,함두영,咸斗榮,남,1905,,,,민의원,양정고졸,민의원
서울 제12선거구,3,무소속,김우정,金于霆,남,1896,,,,광업,일본명대3년중퇴,광업
서울 제12선거구,4,무소속,신도성,愼道晟,남,1918,,,,민의원,일본동경대학법학부졸,민의원
서울 제13선거구,1,민주당,엄상섭,嚴詳燮,남,1909,,,,변호사,전주사범졸,민의원
서울 제13선거구,2,자유당,남송학,南松鶴,남,1904,,,,민의원,조도전대학교외생졸,민의?b유당서울시당부위원장
서울 제13선거구,3,무소속,손창섭,孫昌燮,남,1920,,,,회사사장,육군학교고등군사수료,청년시보사장
서울 제13선거구,4,무소속,강재훈,姜在勳,남,1920,,,,개척사업,단국대정치과졸,사단법인한국개척단장
서울 제14선거구,1,민주당,김원만,金元萬,남,1909,,,,회사사장,일본동양대학예과졸 1년 중퇴,용산을구당위원장
서울 제14선거구,2,자유당,황성수,黃聖秀,남,1917,,,,민의원,미국칼리포니아대정치학부대학원,유엔총회한국대표
서울 제15선거구,1,민주당,윤명운,尹明運,남,1912,,,,무직,경찰전문학교졸업,서울특별시경찰국장
서울 제15선거구,2,자유당,윤재욱,尹在旭,남,1911,,,,민의원,고등성경학원졸,민의원
서울 제15선거구,3,무소속,민동기,閔東基,남,1915,,,,무직,일본조도전대학교외생부중등수료,동회장
서울 제15선거구,4,노농당,전진한,錢鎭漢,남,1902,,,,민의원,조도전대학정경학부경제과졸,노동당위원장
서울 제15선거구,5,무소속,조광섭,趙光燮,남,1913,,,,회사원,만주학원정치학원습득,민의원
서울 제16선거구,1,자유당,이인환,李麟煥,남,1910,,,,회사원,선상업중학4년수,서울특별시의원
서울 제16선거구,2,무소속,김석원,金錫源,남,1894,,,,무직,일본육사졸,성남중고등학교장
서울 제16선거구,3,민주당,류홍,柳鴻,남,1900,,,,회사원,경성공고3년졸,민의원
서울 제16선거구,4,통일당,김태용,金泰龍,남,1917,,,,사회사업,북경대학졸,타공연맹최고위원
경기 제1선거구,1,민주당,김재곤,金載坤,남,1903,,,,,진해고등해원양성소항해과졸,제3대민의원
경기 제1선거구,2,자유당,신태범,愼兌範,남,1912,,,,의사,경성제대의학부졸,자유당중앙위원
경기 제1선거구,3,무소속,김은하,金殷夏,남,1924,,,,언론인,동국대학교정외과졸,인천시의원동양통신경기지사장
